PREFIXO: ;A7-001
NOME DO POSTO: ;POPULINA
MUNICÍPIO: ;POPULINA
CURSO D'ÁGUA: ;GRANDE,R
LATITUDE: ;19°56'00"
LONGITUDE: ;50°32'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  03/1959;---;---;---;---;---;  1,2;  0,0; 26,5;  0,4;  1,7; 10,4;  3,2; 28,6;  0,1;  7,7;  9,3; 56,0; 18,9;  2,5;  2,8;  7,1;  0,0;  5,9;  0,0;  0,0;  0,0;  0,0;  0,0;9,2;0,0;0,0;---;---
  04/1959;  0,0;  0,0;  0,0;  0,0;  6,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,7;  0,0;  0,0; 10,5;  0,0;  0,0;  0,0;0,0;0,0;---;15,7;43,0
  05/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,3;  3,6; 17,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;17,3;37,2
  06/1959;  0,0;  0,0;  0,0;  0,0; 12,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;12,4;12,4
  07/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  08/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,6;  0,3;  0,0;  0,0;  2,9;  6,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;17,6;27,1
  09/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;0,0;0,0;---;10,0;10,0
  10/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,8; 22,2;  7,4; 10,7;  0,0;  0,0;  0,0;  0,0;  0,0;  4,5; 11,1;  0,0;  0,0;  0,0;  0,0;  0,0; 16,6;0,0;0,0;0,0;22,2;78,3
  11/1959;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 28,4;  0,0;  1,5; 41,6;  8,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,1;  0,0;  0,0; 17,1;  0,0;  6,4;  7,0;  0,0;  0,0;  0,0;0,0;0,0;---;41,6;127,2
  12/1959;  0,0;  0,0; 29,7;  0,0;  0,0;  8,2; 13,2; 25,2; 23,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,5; 11,2;  1,0;  8,2; 36,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;36,0;171,5
  01/1960;  0,0;  0,0;  0,0; 10,0; 26,3;  0,0;  6,0; 20,0;  5,0;  8,0;  0,0; 17,6;  0,0; 16,1;  0,0;  0,0;  0,0; 16,0; 40,3;  8,0; 10,2; 14,2; 10,3; 16,0;  4,0;  0,0;  0,0;  0,0;0,0;0,0;7,4;40,3;235,4
  08/1960;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;---;---
  09/1960;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;15,7;0,0;---;15,7;16,5
  10/1960; 15,5; 23,0; 23,0;  0,0;  0,0;  0,0;  7,2;  0,0; 13,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,2;  0,0;  0,0;  0,0;  0,0; 14,9;  0,0;  0,0; 18,7;  6,9;  0,0;  0,0;0,0;32,6;4,3;32,6;165,7
  11/1960;  1,5;  0,0;  0,0;  0,0; 10,0; 17,0;  0,0; 10,0; 12,0; 20,7;  0,0;  0,0;  0,0;  7,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0;  0,0;  8,0; 10,0;  0,0;0,0;0,0;---;20,7;98,6
  12/1960;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 31,1;  0,0;  0,0;  0,0;  0,0;  0,0; 21,0; 15,5;  0,0;  0,0; 31,8;  6,0;  0,0; 15,0;  0,0;  0,0;  0,0;  0,0;0,0;17,0;10,0;31,8;147,4
  01/1961; 10,0; 41,6; 10,0; 18,5;  0,0; 47,0; 10,8; 20,1;  0,0; 12,5; 39,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;20,1;0,0;47,0;239,8
  02/1961;  0,0;  0,0;  0,0; 10,1;  0,0;  0,0; 10,0;  0,0; 19,1;  0,0;  0,0; 12,3;  5,1;  0,0;  5,0;  0,0;  0,0;  0,0; 36,5;  0,0;  0,0;  5,0; 16,0;  0,0;  0,0;  0,0; 10,0;  8,9;---;---;---;36,5;138,0
  03/1961;  0,0;  5,0;  0,0; 28,7; 23,0; 27,0; 28,0;  0,0;  0,0;  0,0;  0,0; 47,5; 18,0; 29,8;  0,0;  0,0; 25,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;47,5;232,5
  04/1961;  0,0;  0,0;  8,0; 12,0; 56,5;  0,0; 44,1;  0,0;  0,0; 53,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;56,5;173,6
  05/1961;  3,0;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;  0,0;  0,0;  8,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;10,0;21,0
  06/1961;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;0,0;0,0
  07/1961;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  08/1961;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,5;  0,0;  0,0;  0,0;0,0;0,0;0,0;13,5;13,5
  09/1961;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;9,2;0,0;---;9,2;9,2
  10/1961;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0; 12,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,8;10,2;5,2;5,3;12,2;39,2
  11/1961; 21,3;  3,2; 10,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5; 10,0;  8,5; 18,5;  0,0;  0,0;  0,0;  0,0;  0,0; 10,5;  0,0;  0,0;  8,0; 11,2;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;21,3;101,9
  12/1961;  0,0; 10,4;  0,0; 15,2;  0,0;  0,0;  0,0; 25,3;  0,0;  0,0;  0,0; 33,1;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0; 10,1; 15,3;  0,0;  0,0;  0,0; 25,8; 15,3;  0,0;  0,0;  0,0;9,4;0,0;15,5;33,1;180,4
  01/1962; 29,9; 15,2;  0,0;  0,0; 30,4; 15,0;  0,0;  0,0;  0,0; 21,5;  0,0;  0,0;  0,0; 15,2;  0,0;  0,0;  0,0;  0,0;  0,5; 21,3;  0,0;  0,0;  0,0;  0,0; 25,6;  0,0;  0,0;  0,0;0,0;8,1;10,5;30,4;193,2
  02/1962;  0,0;  0,0; 15,8; 31,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,2;  0,0; 18,6; 19,5;  0,0;  0,0;  0,0; 21,9;  0,0;  0,0; 30,4;  0,0;  0,0;  0,0;  0,0; 30,6;  0,0; 22,0;  0,0;---;---;---;31,0;205,0
  03/1962; 35,8; 33,6;  0,0;  0,0;  0,0; 15,1; 19,3; 21,2; 20,1;  0,0;  0,0;  0,0; 13,4; 33,2;  0,0;  0,0; 22,5;  0,0;  0,0;  8,0; 10,9; 15,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;35,8;248,6
  04/1962;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,5;19,0;0,0;---;19,0;37,5
  05/1962;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;10,3;0,0;0,0;15,5;25,8
  06/1962;  0,0; 10,5; 15,7;  0,0; 25,0; 35,7;  0,0; 15,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;35,7;102,6
  07/1962;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  08/1962;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,8;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,3;0,0;3,0;8,1
  09/1962;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;8,0;11,5
  10/1962; 12,5;  0,0;  0,0;  0,5; 15,5;  0,0; 47,8; 13,6; 14,8; 51,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,0;  0,0;  0,0;  0,0;  0,0;  0,0; 68,8;  1,5;  8,5;  0,0;  0,0; 18,5;17,6;0,3;0,0;68,8;283,2
  11/1962;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,5; 14,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1; 21,6;  0,0;0,0;2,0;---;21,6;60,6
  12/1962; 36,4; 30,1;  2,5; 35,5; 26,8;  0,0;  0,0;  0,0;  0,0;  0,0; 20,7; 35,5;  0,0;  0,0;  0,0;  0,0;  0,0; 20,5; 21,6; 45,7; 33,5; 43,5;  0,0;  0,0;  0,0; 20,5; 30,3; 34,1;30,8;40,0;35,5;45,7;543,5
  01/1963; 35,6;  0,0;  0,0; 20,0; 40,6; 20,0;  0,0; 15,0; 17,0;  0,0; 75,8;  0,0; 40,5;  0,0; 45,8; 45,5; 12,1;  0,0;  0,0;  0,0;  7,5;  0,0;  0,0; 25,6;  0,0; 35,5;  0,0;  0,0;0,0;20,5;0,0;75,8;457,0
  08/1965;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;---;---
  09/1965;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 24,0; 12,0;12,0;14,0;---;24,0;62,0
  10/1965; 12,5;  0,0;  0,0;  0,0;  0,0; 10,0;  0,0; 20,0; 23,0; 24,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 72,0;  0,0;  0,0;  0,0; 20,0;  0,0;  0,0;  0,0; 15,4;  0,0;  0,0;28,2;11,7;0,0;72,0;236,8
  11/1965;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,2; 11,0;  0,0; 24,5;  0,0;  0,0; 63,8;  0,0;  0,0; 62,3;  0,0;  0,0; 10,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;63,8;184,0
  12/1965; 19,2;  0,0;  0,0; 13,9; 21,5;  0,0; 11,7; 39,7;  9,2;  0,0; 28,2; 22,0;  0,0;  0,0;  0,0; 62,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,3;  0,0;  0,0; 24,0; 10,4;0,0;24,6;25,9;62,0;328,6
  01/1966;  0,0;  8,0;  0,0;  0,0;  0,0; 44,5; 11,5; 15,0; 17,0; 19,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 34,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,0;  0,0;  0,0;0,0;0,0;15,5;44,5;177,5
  02/1966;  0,0;  0,0;  0,0; 10,0; 40,0; 30,0; 50,0; 50,0;  5,0;  9,3; 10,0; 20,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 34,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;---;50,0;258,3
  03/1966;  0,0;  0,0;  0,0;  0,0;  0,0; 42,6; 10,0; 23,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 26,0; 26,4;  0,0; 16,0;0,0;0,0;0,0;42,6;144,7
  04/1966;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 22,1;  0,0;  0,0;0,0;0,0;---;22,1;22,1
  05/1966;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 42,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;42,4;60,5
  06/1966;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;0,0;0,0
  07/1966;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  08/1966; 12,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;30,5;0,0;30,5;43,0
  09/1966;  0,0; 16,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;18,3;34,5
  10/1966;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 49,8;  0,0;  3,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,8;  0,0;  0,0;  0,0; 34,2;  0,0;  0,0;  0,0; 17,7; 10,0;0,0;0,0;8,0;49,8;126,8
  11/1966;  0,0;  0,0;  0,0;  0,0;  0,0; 30,6;  1,7;  2,2;  0,0;  0,0; 60,5;  0,0; 21,7;  0,0;  0,0; 63,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,3;  3,0;0,0;0,0;---;63,6;195,6
  12/1966;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 26,0; 10,2;  0,0;  0,0; 29,0;  9,7; 35,0; 79,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;79,2;191,6
  01/1967;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 32,0;  0,0; 36,2; 16,4; 24,5; 36,7; 60,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;122,2;  0,0; 13,0;  0,0;0,0;0,0;0,0;122,2;341,0
  02/1967;  0,0;  0,0;  0,0;  0,0;  0,0; 67,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 47,5;  0,0;  5,6;  0,0;  0,0; 37,7;  0,0;  0,0;  0,0;  0,0;---;---;---;67,5;158,3
  03/1967;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 84,2;  0,0;  0,0;  0,0;  0,0;  0,0; 57,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;84,2;141,2
  04/1967;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 53,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 19,0;  0,0;  0,0;  1,5;  0,0;  0,0;0,0;23,1;---;53,0;96,6
  05/1967;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  06/1967;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,0; 25,3;  0,0;  8,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;25,3;49,3
  07/1967;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  08/1967;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  09/1967;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,5;  5,5; 29,5;  0,0;  0,0; 19,4;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;12,2;---;29,5;87,1
  10/1967;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 78,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 54,5; 40,4;  0,0;  0,0;0,0;0,0;0,0;78,6;173,5
  11/1967;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,5; 39,2; 50,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 43,3;  0,0;0,0;0,0;---;50,9;140,9
  12/1967;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 30,0;  0,0;  5,0; 10,0; 20,3; 23,5;  0,0;  0,0; 18,0; 15,0; 17,0; 12,0;16,0;10,5;0,0;30,0;187,3
  01/1968;  0,0;  0,0; 20,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 49,3; 38,5; 44,5;  0,0; 17,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 14,7;  0,0;  0,0; 31,5;  0,0;  0,0;  0,0;0,0;0,0;0,0;49,3;216,0
  02/1968;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 43,8;  0,0;  0,0;  0,0; 10,0; 10,0; 10,0;  0,3;  0,0;  0,0;  0,0;  0,0; 37,1;  0,0;  0,0;  0,0;  0,0;0,0;---;---;43,8;111,2
  03/1968;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  04/1968;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 50,3;0,0;0,0;---;50,3;50,3
  05/1968;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  06/1968;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;10,0;10,0
